fc_code,state,fc_type,public_address,google_maps_search_url,map_pairing_status,source_url,source_date,checked_date
GAX1,AS,Core,"Nitesh Ventures, Village: Uparhali (Bijoynagar), P.O.: Uparhali, District- Kamrup, Guwahati - 781122",https://www.google.com/maps/search/?api=1&query=Amazon%20GAX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SGAC,AS,H&B,"PS Kamalpur, Village Madanpur P.O Deuduar, P.S. Changsari, District – Kamrup, Assam, Pin – 781101",https://www.google.com/maps/search/?api=1&query=Amazon%20SGAC%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
PAX1,BR,Core,"M/S Trilokeshwar Estates Private Limited, Mauza, Simli Murarpur, Near Toll Plaza & Maurya Motor, NH-30, Patna, 800009",https://www.google.com/maps/search/?api=1&query=Amazon%20PAX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SPAB,BR,H&B,"Pristine Magadh Infrastructure Pvt.Ltd.,Old Sugar Mill Campus.,Near Bihta Railway Station,Bihta, Patna, 801103",https://www.google.com/maps/search/?api=1&query=Amazon%20SPAB%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BBX1,OR,Core,"IDCO Industrial Estate, Plot No. 920 (P) 922/2815 (P) Vill: Giringaput , PS- Chandaka, Bhubaneshwar, Khorda, Odisha 752054",https://www.google.com/maps/search/?api=1&query=Amazon%20BBX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
XECP,WB,MPS,"Amta Industrial Park-2, Amta-Ranihati Road, Islampur, West Bengal 711401.",https://www.google.com/maps/search/?api=1&query=Amazon%20XECP%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
CCX1,WB,Core,"NDR Vanshil, warehouse Park LLP Raghudevpur, Panchla, Howrah, Pin-711322",https://www.google.com/maps/search/?api=1&query=Amazon%20CCX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
CCX2,WB,Core,"SpaceArth Warehousing GC Two LLP, Prop - Arun Kumar Dwivedi, Ganesh Complex - 2, Mallick Bagan, Panchla, Howrah - 711302",https://www.google.com/maps/search/?api=1&query=Amazon%20CCX2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SCUY,WB,H&B,"Shyama Properties Sales LLP Amta Industrial J.L No - 76, Khatian No. - LR 4083 & 4089, Islampur Gram Panchayat P.S. Jagatballavpur Howrah 711401",https://www.google.com/maps/search/?api=1&query=Amazon%20SCUY%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
CCX4,WB,SDC,"Dreamstay Real Estate Pvt.Ltd, SH 13, Bangihati Village, Hooghly, SH 13, Bangihati Village, Hooghly, Jagannathpur, SERAMPORE, 712249",https://www.google.com/maps/search/?api=1&query=Amazon%20CCX4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
