fc_code,state,fc_type,public_address,google_maps_search_url,map_pairing_status,source_url,source_date,checked_date
DEX3,DL,Core,"Plot No. A-28(Lower Ground floor), Mohan Co-operative Industrial Estate, Mathura Road, New Delhi – 110044",https://www.google.com/maps/search/?api=1&query=Amazon%20DEX3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
PNQ2,DL,Core,"No. A-33,Mohan Cooperative Industrial Estate,New Delhi 110044",https://www.google.com/maps/search/?api=1&query=Amazon%20PNQ2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
AMD2,GJ,Core,"Plot no. 120 X and part portion of plot no. 119 W2, Gallops Industrial Park 1, Village Rajoda, Taluka Bavla, District Ahmedabad- 382220",https://www.google.com/maps/search/?api=1&query=Amazon%20AMD2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SAME,GJ,H&B,"Indraprashtha Industrial and logistics hub, Vadala Patia Road, Near Bharat gas filling plant, Village Hariyala, Kheda, Ahmedabad,Gujarat–Pincode-387570",https://www.google.com/maps/search/?api=1&query=Amazon%20SAME%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DEL2,HR,DRCC,"Unit No.1, Khewat/Khata No. 373/400, Mustatil No. 31, Kila No 14/2, Village Tauru, Mewat, Haryana, Pin code-122105",https://www.google.com/maps/search/?api=1&query=Amazon%20DEL2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HDO3,HR,DRCC,"Rectangle number 34/35/41/60/66 Khasra number 2 to 24 and 1 to 25 Village Dhateer, Village Teharki, Palwal Haryana 121102",https://www.google.com/maps/search/?api=1&query=Amazon%20HDO3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DED3,HR,IXD,"Block J2, Farukhnagar Logistics Parks, LLP, Farrukhanagar, Gurgaon-122506",https://www.google.com/maps/search/?api=1&query=Amazon%20DED3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DED5,HR,IXD,"Emporium Industrial Parks India Pvt Ltd, ESR Sohna Logistics Park, Village Rahaka, Tehsil – Sohna, District – Gurugram (on Sohna-Ballabgarh Road),Haryana- 122103",https://www.google.com/maps/search/?api=1&query=Amazon%20DED5%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DED4,HR,Core,"Emporium Industrial Parks India Pvt Ltd, ESR Sohna Logistics Park, Village Rahaka, Tehsil – Sohna, District – Gurugram (on Sohna-Ballabgarh Road),Haryana- 122103",https://www.google.com/maps/search/?api=1&query=Amazon%20DED4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DEL4,HR,Core,"KH No 18//21,19//25,34//5,6,7/1 min,14/2/2 min,15/1 min,27,35//1,7,8,9/1,9/2,10/1,10/2,11 min,12,13,14 of village Jamalpur,Dist Gurgaon,Haryana 122503",https://www.google.com/maps/search/?api=1&query=Amazon%20DEL4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
DEL5,HR,Core,"Rect/Killa Nos. 38//8/2 min, 192//22/1,196//2/1/1, 37//15/1, 15/2,Adjacent to Starex School, Village - Binol, National Highway -8, Tehsil – Manesar, Gurgaon, 122413",https://www.google.com/maps/search/?api=1&query=Amazon%20DEL5%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SDEG,HR,H&B,"M/s. ERPL Warehousing Park Pvt. Ltd, B 300, Khewat 2/2, Rectangle no. 34, Killa no. 11/2/1, Sehsola, Tehsil Taoru, Mewat (Nuh), Haryana- 122105",https://www.google.com/maps/search/?api=1&query=Amazon%20SDEG%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HBX1,HR,H&B IXD,"M/s. ERPL Warehousing Park Pvt. Ltd, B 300, Khewat 2/2, Rectangle no. 34, Killa no. 11/2/1, Sehsola, Tehsil Taoru, Mewat (Nuh), Haryana- 122105",https://www.google.com/maps/search/?api=1&query=Amazon%20HBX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
HDX1,HR,SDC,"Block B03 - Rahaka & Rani ka Singhola, Tehsil Sohna, District Gurugram , Next to Keystone Knowledge Park, Gurugram, 122102",https://www.google.com/maps/search/?api=1&query=Amazon%20HDX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
