fc_code,state,fc_type,public_address,google_maps_search_url,map_pairing_status,source_url,source_date,checked_date
SVTZ,AP,H&B,"MS Rajkamal Logi centre LLP Survey No. 52/2,52/3A,52/2B,53/1B,54/1B,54/2A Opp RTO office Rajupalem Village Anakapalli Andhra Pradesh 531019",https://www.google.com/maps/search/?api=1&query=Amazon%20SVTZ%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
RJX1,AP,RSR,"Land/Plot No-8, AWSL Logistic Park, APIIC, UDL IDA, IP_Expansion_Gurrampalem, Gurrampalem, Visakhapatnam, Andhra Pradesh, 531173",https://www.google.com/maps/search/?api=1&query=Amazon%20RJX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BLR4,KA,IXD,"Plot no. 12/P2 (IT Sector), Hitech, Defence and Aerospace, Park, Devanahalli, Bengaluru – 562149",https://www.google.com/maps/search/?api=1&query=Amazon%20BLR4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BLR5,KA,DRCC,"SURVEY NO. 38/2, 39 AND 40, JADIGENAHALLI HOBLI, KACHARAKANAHALLI VILLAGE, HOSAKOTE TALUK, Bengaluru (Bangalore) Urban, Karnataka- 562114",https://www.google.com/maps/search/?api=1&query=Amazon%20BLR5%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BLR7,KA,Core,"M/s R.K.V DEVELOPERS, SY no 524/2, 525/3, 526/3, Madivala & Thattanahalli Village, Anekal Taluk, Attibele sub division of Chandapura Division, Bangalore 562107",https://www.google.com/maps/search/?api=1&query=Amazon%20BLR7%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BLR8,KA,Core,"Building 2 Wh 2. Plot no. l2/P2 IT Sector, Hitech, Defence and Aerospace Park, Devanahalli,Bengaluru, Bengaluru (Bangalore) Urban, Karnataka, 562149",https://www.google.com/maps/search/?api=1&query=Amazon%20BLR8%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SBLB,KA,H&B,"Survey No. 29/3 and 29/4, Bellad Group - Shahara Veerapura, Gabbur and Gadag ring road, Yellapura 580023, Hubli",https://www.google.com/maps/search/?api=1&query=Amazon%20SBLB%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BLX1,KA,H&B,"Survey Nos. 43, 44 ,45, 46 of Madanahatti, Venkatapura village and Survey Nos. 118/1A, 130/1, 117, 118/1B, 118/2, 119/1, 119/2, 120, 121 Madanahatti Village and Survey No. 171 of Marasandra village, Malur Taluk, Kolar-563160",https://www.google.com/maps/search/?api=1&query=Amazon%20BLX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
XSAJ,KA,MPS,"Sy nos. 70/1, 70/2 & 70/3 at Minnapura Village, Thyamagondlu Hobli, Nelamangala Taluk, Bangalore Rural 562132",https://www.google.com/maps/search/?api=1&query=Amazon%20XSAJ%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SBLL,KA,RSR,"Ground Floor; Block No 47, Shakti Concrete Blocks & Poles, Gokul Road, Hubballi, Karnataka – 580030",https://www.google.com/maps/search/?api=1&query=Amazon%20SBLL%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
