fc_code,state,fc_type,public_address,google_maps_search_url,map_pairing_status,source_url,source_date,checked_date
BOM4,MH,DRCC,"WB 10/11, Renaissance Industrial Park, Village Vashere, Post Amane, Taluka Bhiwandi, Dist. Thane, PinCode 421302",https://www.google.com/maps/search/?api=1&query=Amazon%20BOM4%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
ISK3,MH,IXD,"Royal Warehousing and Logistics LLP, Survey No 45, Hissa No 4A, Village Pise, Village Aamne Post, Taluka Bhiwandi, Savad-Pise Road, District Thane, Maharashtra 421302",https://www.google.com/maps/search/?api=1&query=Amazon%20ISK3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BOM5,MH,Core,"Building No.WE-I, Renaissance Industrial Smart City, Village Vashere, Post Amane, Taluka Bhiwandi, Dist. Thane. Maharashtra 421302.",https://www.google.com/maps/search/?api=1&query=Amazon%20BOM5%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
BOM7,MH,Core,"Building # 5, BGR Warehousing Complex, Near Shiv Sagar Hotel, Village Vahuli, Bhiwandi, Thane-421302",https://www.google.com/maps/search/?api=1&query=Amazon%20BOM7%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
PNQ3,MH,Core,"Building No. B01, ESR Pune Estates Pvt Ltd, Village Ambethan, Tal - Khed, Pune - 410501",https://www.google.com/maps/search/?api=1&query=Amazon%20PNQ3%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
NAX1,MH,Core,"Orange City Logistics Park, Warehouse No. 4 Village- Gumgoan, Outer Ring Road NAGPUR 440018",https://www.google.com/maps/search/?api=1&query=Amazon%20NAX1%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SBOB,MH,H&B,"F-2,Survey No. 122/7c,122/2,122/1,118/1,118/7,131,Ayushi Spaces LLP,NH-3,Village Dohole, Taluka, Bhiwandi, Distt Thane-421101",https://www.google.com/maps/search/?api=1&query=Amazon%20SBOB%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
XWUA,MH,MPS,"Building no C1, Global Complex, Number 34, Hissa 5, Grampanchayat Kukse, Bhiwandi, Borivali Tarf Sonale,Maharashtra,421302",https://www.google.com/maps/search/?api=1&query=Amazon%20XWUA%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SPUN,MH,H&B,"Musaddilal Properties Pvt. Lt Sy.No.139,140/1,140/2,140/2B/1,140/2B/2,141/1,141/2A,141/2 Dhingrajwadi, Near AM/NS India, Sanaswadi Pune 412216",https://www.google.com/maps/search/?api=1&query=Amazon%20SPUN%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
SBHF,MP,H&B,"Asianaco Logistic (OPC) Pvt Ltd., Opp. Bharat Petroleum, New Bypass Road, Dobra Village, Bhopal – 462030",https://www.google.com/maps/search/?api=1&query=Amazon%20SBHF%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
IDX2,MP,Core,"Shiv logistic Park, Khasra No 282/1/2/2 Village Dakachya, Tehsil Sanwer, Indore, Madhya Pradesh - 453771",https://www.google.com/maps/search/?api=1&query=Amazon%20IDX2%20fulfillment%20center%20India,search_link_not_google_derived_metadata,https://easyworks.in/blog/amazonfbawarehouse,2026-07-15,2026-09-17
